亚科,亚科,genus,url,species,url url,fenbudi,description
蚁亚科蚂蚁,Formicinae,尼氏蚁属,Nylanderia,纤细尼氏蚁,Nylanderia otome,中国台湾；日本。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,太平洋铺道蚁,Tetramorium pacificum,中国广东（七星坑）、海南、河南、四川（川东盆地域、川西南高原域）、台湾、西藏、香港、云南；菲律宾，马来西亚半岛，缅甸，泰国，婆罗洲，新几内亚，印度尼西亚，斯里兰卡，印度，澳大利亚，加罗林群岛，俾斯麦群岛，所罗门群岛，新喀里多尼亚，罗亚尔特群岛，瓦努阿图，斐济，瓦利斯群岛和富图纳群岛，汤加，萨摩亚群岛，库克群岛，南方群岛，学会群岛，土阿莫土群岛，马克萨斯群岛，甘比尔群岛，皮特凯恩群岛，塞舌尔，马斯克林群岛，美国。,
切叶蚁亚科蚂蚁,Myrmicinae,盘腹蚁属,Aphaenogaster,贝卡盘腹蚁,Aphaenogaster beccarii,中国福建、广东（南岭）、广西（环江、金钟山、弄岗、十万大山）、湖南、辽宁、四川（川东盆地域）、西藏（德姆拉山、排龙、喜马拉雅山（珠峰段））、云南（无量山、西双版纳）、浙江；印度尼西亚，斯里兰卡，印度。,经过考证，原“贝卡氏盘腹蚁”是不用加“氏”字的，故删去。
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,短刺切胸蚁,Temnothorax brevispinus,中国宁夏（贺兰山、西吉）、青海。,
蚁亚科蚂蚁,Formicinae,蚁属,Formica,塔里木蚁,Formica tarimica,中国新疆（塔里木盆地）。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,中华瘤颚蚁,Strumigenys sinensis,中国福建。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,光亮弓背蚁,Camponotus clarior,澳大利亚。,种小名“clarior”意为“光亮的”，指的是其体表光亮的特点，故而译为“光亮弓背蚁”。
切叶蚁亚科蚂蚁,Myrmicinae,盘腹蚁属,Aphaenogaster,拟雕刻盘腹蚁,Aphaenogaster subexaperata,中国广西（花坪、金钟山）。,本新种与雕刻盘腹蚁A. exasperata Wheeler相近似，但新种触角棒明显，前胸背板光亮，并胸腹节基面无纵沟，可与之相区别。
切叶蚁亚科蚂蚁,Myrmicinae,小家蚁属,Monomorium,法老小家蚁,Monomorium pharaonis,中国河北（保定）、北京、云南（昆明、西双版纳）、江苏（常州）、海南（尖峰岭）、广西（大瑶山、大王岭、金钟山、防城、弄岗）、广东（平远、广州、龙门）、河南（商丘、开封、兰考、尉氏、杞县、通许、周口、项城、太康、西华、淮阳、鹤壁（淇县、淇滨、山城、鹤山、浚县））、吉林（长春、四平、辽源、吉林）、宁夏（银川（兴庆区、西夏区））、四川（川东盆地域）、新疆（乌鲁木齐）、西藏（墨脱）、云南（西双版纳、无量山）、甘肃（山丹县）；世界各地。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,矮大头蚁,Pheidole parva,中国广东、台湾、西藏、香港；菲律宾，马来西亚半岛，缅甸，泰国，越南，婆罗洲，小巽他群岛，印度尼西亚，日本，克什米尔，尼泊尔，斯里兰卡，印度，阿曼，沙特阿拉伯。,"“parva”意为“small, little, cheap”，因为“小”容易产生歧义，所以选用“矮”为种名。故此蚁种译为矮大头蚁。褐大头蚁（Pheidole rinae tipuna）、邵氏大头蚁（Pheidole sauteri）均被确定为矮大头蚁（Pheidole parva）的次异名，已被撤销。"
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,知本猛蚁,Ponera chiponensis,中国台湾（台东知本）、陕西（佛坪）、云南、重庆（大巴山）。,
猛蚁亚科蚂蚁,Ponerinae,双刺猛蚁属,Diacamma,苍白双刺猛蚁,Diacamma pallidum,中国香港。,
切叶蚁亚科蚂蚁,Myrmicinae,小家蚁属,Monomorium,双色小家蚁,Monomorium dichroum,中国福建；索科特拉岛，也门，印度，阿曼。,
蚁亚科蚂蚁,Formicinae,原蚁属,Proformica,克氏原蚁,Proformica korbi,中国宁夏（同心）、青海；土耳其。,
蚁亚科蚂蚁,Formicinae,刺结蚁属,Lepisiota,网纹刺结蚁,Lepisiota reticulata,中国云南（西双版纳、无量山）、广西（三江、荔浦、南宁）、贵州（同仁）。,
切叶蚁亚科蚂蚁,Myrmicinae,小家蚁属,Monomorium,无毛小家蚁,Monomorium impexum,中国香港。,
猛蚁亚科蚂蚁,Ponerinae,短猛蚁属,Brachyponera,天尊短猛蚁,Brachyponera tianzun,中国台湾（南投、台东）。,
切叶蚁亚科蚂蚁,Myrmicinae,无刺蚁属,Kartidris,尼约斯无刺蚁,Kartidris nyos,中国云南（勐腊）、四川（川西南高原域）；印度。,
切叶蚁亚科蚂蚁,Myrmicinae,红蚁属,Myrmica,中申红蚁,Myrmica sinoschencki,中国四川（茂县、汶川）。,小名“sinoschencki”是一个复合词，意为“分布于中国的申克种团的红蚁”。故而简译为“中申红蚁”。
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,粗糙猛蚁,Ponera scabra,中国贵州（梵净山）、河南（登封）、台湾；日本，朝鲜半岛。,
蚁亚科蚂蚁,Formicinae,蚁属,Formica,极亮蚁,Formica clarissima,中国青海；蒙古，俄罗斯。,
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,广西猛蚁,Ponera guangxiensis,中国广西（贺州）。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,屈尺瘤颚蚁,Strumigenys chuchihensis,中国台湾。,
猛蚁亚科蚂蚁,Ponerinae,齿猛蚁属,Odontoponera,横纹齿猛蚁,Odontoponera transversa,"中国广东（广州、龙门、郁南、深圳（南山、罗湖、大鹏）、封开、鼎湖山、从化、河源、珠海、联合、七星岩、罗岗、石牌、增城、罗浮山）、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、金钟山、弄岗）、海南、云南（西双版纳、无量山、绿春）、浙江、台湾（澎湖岛）、香港、湖南（江永）、福建（福州）；新加坡，越南，缅甸，斯里兰卡，马来西亚，巴布亚新几内亚，印度，爪哇。
备注：寺山守1990年认为澎湖记录需再此采集标本确认。",
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,象足切胸蚁,Temnothorax eburneipes,中国江西（九江）、未定定名（Kuling）；朝鲜。,原翻译为“象牙切胸蚁”，但其种小名“eburneipes”是由“eburnei；象牙色的”+“pes；足”组成的，指的是其足部色泽如同象牙一般，故而更正为“象足切胸蚁”。
钝猛蚁亚科蚂蚁,Amblyoponinae,锯猛蚁属,Prionopelta,柯氏锯猛蚁,Prionopelta kraepelini,中国台湾（六龟）；菲律宾，爪哇，萨摩亚群岛，密克罗尼西亚群岛，澳大利亚。,
行军蚁亚科蚂蚁,Dorylinae,双节行军蚁属,Aenictus,郑氏双节行军蚁,Aenictus zhengi,中国四川。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,盖氏大头蚁,Pheidole gatesi,中国广西（大王岭、底定、弄岗）、海南（吊罗山、尖峰岭、五指山）、云南；缅甸，泰国，越南。,
切叶蚁亚科蚂蚁,Myrmicinae,窄结蚁属,Stenamma,克什米尔窄结蚁,Stenamma kashmirense,中国西藏；印度。,
猛蚁亚科蚂蚁,Ponerinae,钩猛蚁属,Anochetus,兰屿钩猛蚁,Anochetus lanyuensis,中国台湾（兰屿）。,
切叶蚁亚科蚂蚁,Myrmicinae,冠胸蚁属,Lophomyrmex,贝多特氏冠胸蚁,Lophomyrmex bedoti,中国云南；印度尼西亚（苏门答腊岛）。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,平额大头蚁,Pheidole planifrons,中国云南（西双版纳）；泰国，越南，印度尼西亚。,
蚁亚科蚂蚁,Formicinae,毛蚁属,Lasius,田鼠毛蚁,Lasius talpa,中国台湾、北京、陕西；日本，朝鲜半岛。,
伪切叶蚁亚科蚂蚁,Pseudomyrmecinae,细长蚁属,Tetraponera,艾氏细长蚁,Tetraponera aitkeni,中国云南（西双版纳）；印度，斯里兰卡。,
卷尾猛蚁亚科蚂蚁,Proceratiinae,无齿猛蚁属,Discothyrea,邵氏无齿猛蚁,Discothyrea sauteri,中国台湾（台东、南投、六龟）；日本。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,敦煌铺道蚁,Tetramorium dunhuangense,中国甘肃（敦煌）、青海。,"敦煌铺道蚁与相似铺道蚁（Tetramorium simillimum）接近 ,但本种体大 ,体长3.32mm-3.53mm;复眼大 ,ED0.17-0.20mm;体黑色 ,上颚、触角、足红褐色;头、并腹胸刻纹间无细密刻点 ,致使其光亮;并腹胸背面纵刻纹延伸至并胸腹节基面中部。"
猛蚁亚科蚂蚁,Ponerinae,中猛蚁属,Mesoponera,拟黑中猛蚁,Mesoponera melanaria,中国云南（西双版纳）；印度，缅甸，斯里兰卡。,
切叶蚁亚科蚂蚁,Myrmicinae,蓬莱蚁属,Formosimyrma,兰屿蓬莱蚁,Formosimyrma lanyuensis,中国台湾（兰屿）。,
臭蚁亚科蚂蚁,Dolichoderinae,虹臭蚁属,Iridomyrmex,紫彩虹臭蚁,Iridomyrmex purpureus,澳大利亚。,种小名“purpureus”意为“紫色的，包括淡红、蓝紫、棕黄等颜色”，由于此蚁种体表布满的直立毛在阳光下呈现虹色晕彩，故而译为“紫彩虹臭蚁”。本种与蓝彩虹臭蚁（Iridomyrmex lividus）在外观上极为相似，不易分辨。
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,相似铺道蚁,Tetramorium simillimum,中国广东（湛江）、广西（北海、防城、桂林、南宁、山口英罗港、金钟山）、贵州、湖南、台湾、云南；日本、小笠原群岛），东南亚，南亚，大洋洲，西亚，非洲，欧洲，美洲，太平洋，印度洋，大西洋。,
切叶蚁亚科蚂蚁,Myrmicinae,切叶蚁属,Myrmecina,弯刺切叶蚁,Myrmecina curvispina,中国广西（罗城）、云南。,
切叶蚁亚科蚂蚁,Myrmicinae,角腹蚁属,Recurvidris,女娲角腹蚁,Recurvidris nuwa,中国云南（绿春）、贵州（都匀）。,
切叶蚁亚科蚂蚁,Myrmicinae,切叶蚁属,Myrmecina,食草切叶蚁,Myrmecina graminicola,中国广西、浙江；英国，丹麦，德国，俄罗斯。,
蚁亚科蚂蚁,Formicinae,多刺蚁属,Polyrhachis,驼背多刺蚁,Polyrhachis cyphonota,中国云南（文山）、贵州（湄潭）。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,细毛铺道蚁,Tetramorium pilosum,中国浙江；斯里兰卡。,
卷尾猛蚁亚科蚂蚁,Proceratiinae,小盲猛蚁属,Probolomyrmex,长柄小盲猛蚁,Probolomyrmex longiscapus,中国云南（勐腊、西双版纳）。,
蚁亚科蚂蚁,Formicinae,尼氏蚁属,Nylanderia,泰伦尼氏蚁,Nylanderia teranishii,中国（西藏）；日本。,
蚁亚科蚂蚁,Formicinae,蚁属,Formica,北方蚁,Formica aquilonia,中国东北（长白山）、吉林（通化、延边、白山）、甘肃（白银、嘉峪关、榆中、古浪、庄浪、永昌、 临夏）、黑龙江、新疆；俄罗斯，蒙古，朝鲜，欧洲北部。,
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,棕头举腹蚁,Crematogaster scutellaris,安道尔，奥地利，巴利阿里群岛，保加利亚，丹麦，法国，德国，直布罗陀，格鲁吉亚，希腊，匈牙利，以色列，伊比利亚半岛，意大利，葡萄牙，马耳他，马其顿共和国，黑山，罗马尼亚，斯洛文尼亚，西班牙，瑞士，英国，土耳其，突尼斯，英国，北爱尔兰。,
切叶蚁亚科蚂蚁,Myrmicinae,心结蚁属,Cardiocondyla,寇氏心结蚁,Cardiocondyla koshewnikovi,中国新疆、蒙古；吉尔吉斯斯坦，蒙古，俄罗斯，土库曼斯坦。,
猛蚁亚科蚂蚁,Ponerinae,细颚猛蚁属,Leptogenys,孟子细颚猛蚁,Leptogenys mengzii,中国云南（勐海、勐腊、景洪、西双版纳）。,
切叶蚁亚科蚂蚁,Myrmicinae,切叶蚁属,Myrmecina,日本切叶蚁,Myrmecina nipponica,中国（probably）；日本，俄罗斯远东，朝鲜半岛。,
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,大阪举腹蚁,Crematogaster osakensis,中国上海（佘山）、湖北、湖南、江西、山西、安徽、浙江、四川（川西北高山高原域、四川盆地西缘山地域）、重庆（大巴山）、陕西（龙池）、福建（龙岩）、广西（弄岗）、广东（平远）、云南（昆明、西双版纳、无量山、绿春）、江苏、海南、西藏（德姆拉山）、河南（鸡公山）；日本，朝鲜半岛。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,粗瘤颚蚁,Strumigenys strygax,中国云南（西双版纳）；泰国，马来西亚，印度尼西亚。,
卷尾猛蚁亚科蚂蚁,Proceratiinae,小盲猛蚁属,Probolomyrmex,长结小盲猛蚁,Probolomyrmex longinodus,台湾（六龟）；日本。,
刺猛蚁亚科蚂蚁,Ectatomminae,曲颊猛蚁属,Gnamptogenys,双色曲颊猛蚁,Gnamptogenys bicolor,中国广西（大明山、弄岗、十万大山、防城、天峨、东兰、河池、隆林、金秀、青龙山、木论、大屏山、西大明山、大王岭、金钟山）、广东（深圳、惠东、龙门、肇庆、信宜、七星坑、罗浮山）、香港、云南（西双版纳、孟仑）、海南（尖峰岭、万宁、五指山、未定：Tai Pitu）、福建；缅甸，印度，菲律宾，东南亚各国。,
蚁亚科蚂蚁,Formicinae,毛蚁属,Lasius,富士山毛蚁,Lasius fuji,中国东北；俄罗斯远东，日本，朝鲜半岛。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,库尔德弓背蚁,Camponotus kurdistanicus,新疆（阜康、Sangong河）；中亚，阿富汗。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,丹戎大头蚁,Pheidole tandjongensis,中国云南；柬埔寨，泰国，越南，印度尼西亚。,种小名“tandjongensis”指的是其最初的发现地，位于印度尼西亚的苏门答腊岛的“丹戎”。故而译为“丹戎大头蚁”。曾发现其与争吵大齿猛蚁（Odontomachus rixosus）同巢而居。（Satria et al. 2015）
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,威氏瘤颚蚁,Strumigenys wilsoni,中国浙江。,
蚁亚科蚂蚁,Formicinae,多刺蚁属,Polyrhachis,始兴多刺蚁,Polyrhachis shixingensis,中国广东（河源、韶关（始兴）、梅州（蕉岭））、广西（贺州）、海南。,
臭蚁亚科蚂蚁,Dolichoderinae,光胸臭蚁属,Liometopum,小头光胸臭蚁,Liometopum microcephalum,阿尔巴尼亚，奥地利，巴利阿里群岛，保加利亚，克罗地亚，捷克共和国，格鲁吉亚，希腊，匈牙利，伊朗，以色列，黑山，马其顿，摩尔多瓦，罗马尼亚，俄罗斯，斯洛伐克，斯洛文尼亚，瑞士，土耳其。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,卡泼林大头蚁,Pheidole capellinii,中国福建、广东（连州）、广西、海南（尖峰岭）、湖南、四川、云南（高黎贡山、无量山）；柬埔寨，缅甸，泰国，印度，印度尼西亚，越南。,
钝猛蚁亚科蚂蚁,Amblyoponinae,点猛蚁属,Stigmatomma,木兰点猛蚁,Stigmatomma mulanae,中国云南（勐腊）。,木兰点猛蚁，即原木兰版纳猛蚁（Bannapone mulanae），因版纳猛蚁属已确定为点猛蚁属的次异名，故而将其归入点猛蚁属。
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,五齿猛蚁,Ponera pentodontos,中国云南（勐腊）、陕西（龙池）。,
猛蚁亚科蚂蚁,Ponerinae,钩猛蚁属,Anochetus,马达拉钩猛蚁,Anochetus madaraszi,中国云南、广西（龙州）；孟加拉国，印度，斯里兰卡。,
切叶蚁亚科蚂蚁,Myrmicinae,毛切叶蚁属,Trichomyrmex,细纹毛切叶蚁,Trichomyrmex destructor,中国湖南、广东（龙门、罗浮山）、广西（木论、花坪、猫儿山、大王岭）、福建、海南（高黎贡山）、云南（昆明）、台湾、香港；斯里兰卡，阿拉伯国家，北非，亚洲，大洋洲，欧洲及非洲各国。,原细纹小家蚁（Monomorium destructor）移入毛切叶蚁属（Trichomyrmex），更名为细纹毛切叶蚁（Trichomyrmex destructor）。
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,特拉凡哥尔举腹蚁,Crematogaster travancorensis,中国云南；印度。,
切叶蚁亚科蚂蚁,Myrmicinae,切叶蚁属,Myrmecina,邵氏切叶蚁,Myrmecina sauteri,中国台湾。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,广布弓背蚁,Camponotus herculeanus,中国辽宁、吉林、黑龙江、北京（霞云岭）、四川（武隆）、河南（开封、兰考、尉氏、杞县、通许、济源、民权、虞城、商丘）、宁夏（六盘山、贺兰山、罗山）、甘肃（渭源）、山西、新疆（乌鲁木齐、米泉）、青海、内蒙古、陕西、四川（川西北高山高原域）、湖北（神农架）、西藏（墨脱）、江苏、浙江、未定地名（Fu-shu-shi）；日本，俄罗斯，朝鲜，蒙古，吉尔吉斯斯坦，欧洲，北美。,
臭蚁亚科蚂蚁,Dolichoderinae,虹臭蚁属,Iridomyrmex,比氏虹臭蚁,Iridomyrmex bicknelli,澳大利亚，新几内亚。,原在我国有发现记录的比氏虹臭蚁蓬莱亚种（Iridomyrmex bicknelli formosae）确定为扁平虹臭蚁（Iridomyrmex anceps）的次异名，已撤销。目前此蚁种在我国没有分布。
猛蚁亚科蚂蚁,Ponerinae,宽猛蚁属,Platythyrea,角唇宽猛蚁,Platythyrea clypeata,中国云南（勐海）；斯里兰卡，东南亚。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,尼科巴弓背蚁,Camponotus nicobarensis,中国海南（尖峰岭、万宁、五指山、佳西）、广东（七星坑、百涌、鼎湖山、罗浮山）、广西（青龙山、弄岗、木论、大瑶山、大屏山、西大明山、底定、南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、金钟山）、云南（西双版纳、无量山）、福建（龙岩）、河南（太康、扶沟）、湖南、台湾、香港；越南，缅甸，印度，菲律宾，尼科巴群岛。,
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,名和举腹蚁,Crematogaster nawai,中国云南（昆明）、上海、江苏、台湾、河南（开封、济源、鹤壁（淇县、淇滨、山城））；日本。,勤勉举腹蚁（Crematogaster laboriosa）被确定为名和举腹蚁（Crematogaster nawai）的次异名，已撤销。
切叶蚁亚科蚂蚁,Myrmicinae,火蚁属,Solenopsis,热带火蚁,Solenopsis geminata,中国北京、甘肃、福建、广东（广州（增城）、深圳、湛江、珠海）、广西（弄岗、山口英罗港）、海南（尖峰岭、南味岭、弄岗）、河南（商丘）、宁夏（青铜峡、中宁）、台湾、香港、浙江、澳门、青海、内蒙古（鄂尔多斯）；喀麦隆，加蓬，几内亚，利比里亚，南非，阿联酋，澳大利亚，新喀里多尼亚，美属萨摩亚，婆罗洲，库克群岛，斐济，关岛，夏威夷，印度尼西亚，基里巴斯，马来西亚，马绍尔群岛，密克罗尼西亚，新几内亚，北马里亚纳群岛，菲律宾，萨摩亚，所罗门群岛，汤加，瓦努阿图，马达加斯加，毛里求斯，留尼旺，加拿大，美国（南部），巴巴多斯，伯利兹，玻利维亚，巴西（东北沿海区域），秘鲁（沿海），哥伦比亚，哥斯达黎加，古巴，多米尼加，厄瓜多尔，法属圭亚那，加拉帕戈斯群岛，大安的列斯群岛，格林纳达，瓜德罗普，危地马拉，圭亚那，海地，洪都拉斯，小安的列斯群岛，墨西哥，尼加拉瓜，巴拿马，波多黎各，圣卢西亚，苏里南，特立尼达和多巴哥，委内瑞拉，孟加拉国，柬埔寨，印度，老挝，尼科巴岛，斯里兰卡，泰国，越南，加那利群岛，希腊，意大利，日本，韩国。,"次异名：Atta clypeata Smith, F., 1858、Atta coloradensis Buckley, 1867、Atta lincecumii Buckley, 1867、Atta rufa Jerdon, 1851、Crematogaster laboriosus Smith, F., 1860、Diplorhoptrum drewseni Mayr, 1861、Myrmica glaber Smith, F., 1862、Myrmica laevissima Smith, F., 1860、Myrmica mellea Smith, F., 1859、Myrmica paleata Lund, 1831、Myrmica polita Smith, F. 1862、Myrmica saxicola Buckley, 1867、Solenopsis cephalotes Smith, F., 1859、Solenopsis edouardi bahiaensis Santschi, 1925、Solenopsis edouardi perversa Santschi, 1925、Solenopsis eduardi Forel, 1912、Solenopsis geminata diabola Wheeler, W.M., 1908、Solenopsis geminata galapageia Wheeler, W.M., 1919、Solenopsis geminata innota Santschi, 1915、Solenopsis geminata medusa Mann, 1916、Solenopsis geminata nigra Forel, 1908、巨颚火蚁Solenopsis mandibularis Westwood, 1840"
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,野刺铺道蚁,Tetramorium setuliferum,刚果民主共和国，坦桑尼亚，安哥拉，赞比亚，马拉维，莫桑比克，纳米比亚，博茨瓦纳，津巴布韦，南非共和国，莱索托，斯威士兰。,种小名“setuliferum”是由“刺毛的”+“野蛮的”组成的，故而译为野刺铺道蚁。
蚁亚科蚂蚁,Formicinae,箭蚁属,Cataglyphis,黄胫箭蚁,Cataglyphis flavitibia,中国内蒙古（阿拉善）、新疆、青海（大柴旦）。,
蚁亚科蚂蚁,Formicinae,平头蚁属,Colobopsis,桑氏平头蚁,Colobopsis saundersi,婆罗洲，印度尼西亚，马来西亚，缅甸，泰国。,
行军蚁亚科蚂蚁,Dorylinae,滑蚁属,Lioponera,火德滑蚁,Lioponera huode,中国台湾（台东）。,1971年，Mizusawa在台湾台东兰屿采集到1有翅雌蚁，2009年，Terayama将其作为新种模式发表，以中国神话中的火德星君命名。
蚁亚科蚂蚁,Formicinae,多刺蚁属,Polyrhachis,结多刺蚁,Polyrhachis rastellata,中国贵州（雷山雷公山、江口梵净山）、湖北（恩施、利川、建始、咸丰、五峰、长阳、竹溪、房县、罗田、崇阳、松滋、荆州）、湖南、浙江（丽水、百祖山）、江西、福建、台湾、云南（西双版纳）、广西（兴安、全州、灌阳、资源、花坪、金秀、田林、藤县、弄岗）、广东（连州、乳源、始兴、平远、深圳）、海南、香港；斯里兰卡，印度，印度尼西亚，缅甸，泰国，丹那沙林，苏门答腊，卡纳那，南孔坎，东南亚，澳大利亚。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,厚毛弓背蚁,Camponotus monju,中国台湾（南投）；日本。,
蚁亚科蚂蚁,Formicinae,斜结蚁属,Plagiolepis,龙王斜结蚁,Plagiolepis longwang,中国广东（潮州）、台湾（台东）。,
行军蚁亚科蚂蚁,Dorylinae,滑蚁属,Lioponera,长跗滑蚁,Lioponera longitarsus,中国广东、四川、云南、浙江（天目山）、湖南、台湾；印度，孟加拉国，澳大利亚。,
蚁亚科蚂蚁,Formicinae,毛蚁属,Lasius,亮毛蚁,Lasius fuliginosus,中国北京、河南（兰考、杞县、通许、辉县、鹤壁（淇县、浚县）、鸡公山）、黑龙江、辽宁、吉林、甘肃、山西、河北、浙江（天目山）、湖南（大庸）、湖北、陕西（龙池）、四川（川东盆地域）、云南、贵州（大沙河、江口梵净山）、香港、广东、广西（猫儿山）、宁夏（彭阳（人工林）、西吉）、香港、华东各省；古北区，俄罗斯，北欧诸国，北美，非洲，亚洲，日本，印度，朝鲜半岛。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,卡氏弓背蚁,Camponotus cameroni,中国香港；厄瓜多尔。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,神圣弓背蚁,Camponotus sanctus,阿富汗、希腊、伊朗、以色列、黎巴嫩、叙利亚、土耳其。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,南昆山瘤颚蚁,Strumigenys nankunshana,中国广东。,
臭蚁亚科蚂蚁,Dolichoderinae,时臭蚁属,Chronoxenus,小眼时臭蚁,Chronoxenus myops,中国广西（钦州、博白、金钟山）、云南（高黎贡山）、河南（夏邑）、辽宁、香港；印度，斯里兰卡。,小光胸臭蚁（Liometopum minimum）确定为小眼时臭蚁（Chronoxenus myops）的次异名，已撤销。
切叶蚁亚科蚂蚁,Myrmicinae,棱胸切叶蚁属,Pristomyrmex,短刺棱胸切叶蚁,Pristomyrmex brevispinosus,中国广东（鼎湖）、台湾、云南（西双版纳）、香港；日本，缅甸。,台湾棱胸切叶蚁（Pristomyrmex formosae）已被确定为短刺棱胸切叶蚁（Pristomyrmex brevispinosus）的次异名。
猛蚁亚科蚂蚁,Ponerinae,拟猛蚁属,Pseudoponera,烙印拟猛蚁,Pseudoponera stigma,中国台湾(台北、台东、南投、垦丁)；印度尼西亚，哥伦比亚，南美洲，美国，哥伦比亚，新几内亚，菲律宾，所罗门群岛，阿根廷，玻利维亚，秘鲁，厄瓜多尔，巴西，圭亚那，法属圭亚那，苏里南，特立尼达和多巴哥，巴拿马，哥斯达黎加，伯利兹，洪都拉斯，危地马拉，大安地列斯群岛，小安地列斯群岛，巴哈马，巴拉圭。,
行军蚁亚科蚂蚁,Dorylinae,双节行军蚁属,Aenictus,泰国双节行军蚁,Aenictus thailandianus,中国云南（西双版纳）、贵州（雷公山）；泰国，越南。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,多毛瘤颚蚁,Strumigenys pilosa,中国广西、湖南。,
行军蚁亚科蚂蚁,Dorylinae,双节行军蚁属,Aenictus,不明双节行军蚁,Aenictus ambiguus,印度。,种小名“ambiguus”译为“不确定的，不明确的”，故而译为“不明双节行军蚁”。
蚁亚科蚂蚁,Formicinae,蚁属,Formica,乌拉尔蚁,Formica uralensis,中国新疆（巴里坤、托托、和静、米泉）、北京、甘肃（渭源、永昌、兰州、山丹、永昌、永靖、古浪）、内蒙古、河北、黑龙江、辽宁；蒙古，白俄罗斯，丹麦，爱沙尼亚，芬兰，法国，德国，哈萨克斯坦，拉脱维亚，立陶宛，挪威，波兰，俄罗斯，朝鲜，乌克兰，瑞士，瑞典，东欧和北欧。,
猛蚁亚科蚂蚁,Ponerinae,姬猛蚁属,Hypoponera,邻姬猛蚁,Hypoponera confinis,中国云南（西双版纳）、安徽、广东；印度，斯里兰卡，印度尼西亚，新几内亚，孟加拉国。,
切叶蚁亚科蚂蚁,Myrmicinae,铺道蚁属,Tetramorium,黄色铺道蚁,Tetramorium flavum,中国宁夏（彭阳、贺兰山）、新疆（托托）、内蒙古（鄂尔多斯）。,
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,皮氏切胸蚁,Temnothorax pisarskii,中国辽宁、黑龙江、河北、山西、陕西。,
切叶蚁亚科蚂蚁,Myrmicinae,盲切叶蚁属,Carebara,钝齿盲切叶蚁,Carebara obtusidenta,中国重庆（大巴山）、湖南、西藏、云南（腾冲）；印度，孟加拉国。,原中文名为钝齿稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。
猛蚁亚科蚂蚁,Ponerinae,隐猛蚁属,Cryptopone,台湾隐猛蚁,Cryptopone taivanae,中国台湾（嘉义、南投、花莲）、云南（西双版纳）。,"经寺山守验视，Cryptopone takahashii (Wheeler,1930)所描述之模式标本（仅有雌蚁）与本种相同，故将两种合并处理，又台湾隐猛蚁定名较早，故保留台湾隐猛蚁。"
蚁亚科蚂蚁,Formicinae,平头蚁属,Colobopsis,光平头蚁,Colobopsis politae,中国云南。,原名为亮长结蚁，现划归为弓背蚁属，由于已经存在“亮弓背蚁”的译名。现更名为近义词“光弓背蚁”。而后此种归入平头蚁属，再次更名为“光平头蚁”。
