亚科,亚科,genus,url,species,url url,fenbudi,description
切叶蚁亚科蚂蚁,Myrmicinae,高黎贡山蚁属,Gaoligongidris,平背高黎贡山蚁,Gaoligongidris planodorsa,中国云南（高黎贡山）。,
臭蚁亚科蚂蚁,Dolichoderinae,狡臭蚁属,Technomyrmex,双色狡臭蚁,Technomyrmex bicolor,中国湖南、云南（西双版纳、云岭）、四川（川西南高原域）、湖北（利川）；斯里兰卡。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,可爱大头蚁,Pheidole jucunda,中国西藏、云南；克什米尔，尼泊尔，斯里兰卡，印度。,
切叶蚁亚科蚂蚁,Myrmicinae,扁胸切叶蚁属,Vollenhovia,埃氏扁胸切叶蚁,Vollenhovia emeryi,中国广东（广州、 始兴）、广西、湖北、湖南、浙江、云南；日本，朝鲜半岛，北美（入侵）。,
切叶蚁亚科蚂蚁,Myrmicinae,盘腹蚁属,Aphaenogaster,罗氏盘腹蚁,Aphaenogaster rothneyi,中国重庆、广西、河南（鸡公山）、湖北、四川、西藏、云南（昆明）；克什米尔，尼泊尔，印度。,
切叶蚁亚科蚂蚁,Myrmicinae,奇蚁属,Perissomyrmex,裂唇奇蚁,Perissomyrmex fissus,中国云南（新平（哀牢山））。,
切叶蚁亚科蚂蚁,Myrmicinae,红蚁属,Myrmica,帕氏红蚁,Myrmica pachei,中国西藏（喜马拉雅山（亚东段、珠峰段））；印度，尼泊尔，不丹。,
钝猛蚁亚科蚂蚁,Amblyoponinae,点猛蚁属,Stigmatomma,康巴点猛蚁,Stigmatomma kangba,中国西藏（察隅）、云南（西畴）。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,犬齿瘤颚蚁,Strumigenys canina,中国海南（昌江、佳西）、广西（青狮潭、西大明山）、湖北、湖南、浙江、香港、江苏、台湾；日本。,
切叶蚁亚科蚂蚁,Myrmicinae,扁胸切叶蚁属,Vollenhovia,星君扁胸切叶蚁,Vollenhovia xingjun,中国台湾。,
蚁亚科蚂蚁,Formicinae,毛蚁属,Lasius,喜马拉雅毛蚁,Lasius himalayanus,中国（浙江）；日本，印度，欧洲。,
切叶蚁亚科蚂蚁,Myrmicinae,盲切叶蚁属,Carebara,条纹盲切叶蚁,Carebara striata,中国云南（勐腊（尚勇（南欠）））。,原中文名为条纹稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。
猛蚁亚科蚂蚁,Ponerinae,大齿猛蚁属,Odontomachus,西藏大齿猛蚁,Odontomachus xizangensis,中国西藏（墨脱）。,
行军蚁亚科蚂蚁,Dorylinae,旁影蚁属,Parasyscia,网纹旁影蚁,Parasyscia reticulatus,中国台湾。,
蚁亚科蚂蚁,Formicinae,尼氏蚁属,Nylanderia,黄腹尼氏蚁,Nylanderia flaviabdominis,中国广西（花坪）、广东（平远、连州、惠东、乳源、龙门、始兴、信宜、深圳、南岭）、湖北（利川、恩施、鹤峰、咸丰、五峰、长阳、神农架、竹溪、竹山、罗田、通山、崇阳、监利、荆州）、广西、云南（西双版纳）。,原黄腹前结蚁（Prenolepis flaviabdominis）归入尼氏蚁属，更名为黄腹尼氏蚁（Nylanderia flaviabdominis）。束胸前结蚁（Prenolepis sphingthoraxa）已证实为黄腹尼氏蚁（Nylanderia flaviabdominis）的次异名。
臭蚁亚科蚂蚁,Dolichoderinae,臭蚁属,Dolichoderus,平背臭蚁,Dolichoderus flatidorsus,中国广西（花坪、金秀、弄岗、防城）、贵州（梵净山）、湖北（来凤、长阳、武当山）、湖南、广东（南岭）。,
钝猛蚁亚科蚂蚁,Amblyoponinae,点猛蚁属,Stigmatomma,贝利点猛蚁,Stigmatomma bellii,中国，印度。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,棒刺大头蚁,Pheidole spathifera,中国广东（肇庆、深圳（罗湖））、贵州、四川、重庆、西藏、云南（昆明）；缅甸，泰国，越南，克什米尔，孟加拉国，斯里兰卡，印度。,
臭蚁亚科蚂蚁,Dolichoderinae,酸臭蚁属,Tapinoma,矮酸臭蚁,Tapinoma sessile,中国；蒙古，北美。,
切叶蚁亚科蚂蚁,Myrmicinae,收获蚁属,Messor,躁动收获蚁,Messor instabilis,阿富汗，巴基斯坦，克什米尔，印度，以色列，摩洛哥。,"次异名：Aphaenogaster barbara punctata Forel, 1886。由于早期分类的混乱，躁动收获蚁最初被分在了芭切叶蚁属（Atta）。躁动收获蚁的模式产地位于印度。"
切叶蚁亚科蚂蚁,Myrmicinae,安尼切叶蚁属,Anillomyrma,大陆安尼切叶蚁,Anillomyrma decamera,中国广东、山东、台湾、Tsingshan；菲律宾，柬埔寨，越南，印度尼西亚，斯里兰卡，印度。,"次异名：Anillomyrma decamera continentis Wheeler, W.M., 1927。大陆安尼切叶蚁是安尼切叶蚁属的模式种，其模式产地位于斯里兰卡。"
切叶蚁亚科蚂蚁,Myrmicinae,叉唇蚁属,Calyptomyrmex,贝氏叉唇蚁,Calyptomyrmex beccarii,澳大利亚，婆罗洲，印度尼西亚，马来西亚，新几内亚，帕劳群岛，菲律宾，新加坡，东帝汶，泰国。,"种小名“beccarii”是一个姓氏，故而译为“贝氏叉唇蚁”。次异名：Calyptomyrmex beccarii glabratus Viehmeyer, 1916、Calyptomyrmex emeryi Forel, 1901、Calyptomyrmex schraderi Forel, 1901、Weberidris rufobrunnea Donisthorpe, 1949"
伪切叶蚁亚科蚂蚁,Pseudomyrmecinae,细长蚁属,Tetraponera,平静细长蚁,Tetraponera modesta,中国广西（花坪、大瑶山、西大明山、底定、弄岗）、广东、福建、海南（吊罗山）、湖北、湖南、台湾；东南亚，印度，新几内亚，菲律宾，朝鲜。,
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,银足切胸蚁,Temnothorax argentipes,中国北京、福建、广西（金钟山）、河南、辽宁、宁夏、陕西。,
