门,纲,目,科,种,学名,保护级别,备注
脊索动物门 CHORDATA,鸟纲 AVES,鸻形目,　鸥科,　　河燕鸥,Sterna aurantia,一级,原名“黄嘴河燕鸥”
脊索动物门 CHORDATA,鸟纲 AVES,鸻形目,　鸥科,　　黑腹燕鸥,Sterna acuticauda,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸻形目,　鸥科,　　黑浮鸥,Chlidonias niger,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸻形目,　海雀科,　　冠海雀,Synthliboramphus wumizusume,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹱形目,　信天翁科,　　黑脚信天翁,Phoebastria nigripes,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹱形目,　信天翁科,　　短尾信天翁,Phoebastria albatrus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹳形目,　鹳科,　　彩鹳,Mycteria leucocephala,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹳形目,　鹳科,　　黑鹳,Ciconia nigra,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹳形目,　鹳科,　　白鹳,Ciconia ciconia,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹳形目,　鹳科,　　东方白鹳,Ciconia boyciana,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹳形目,　鹳科,　　秃鹳,Leptoptilos javanicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　军舰鸟科,　　白腹军舰鸟,Fregata andrewsi,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　军舰鸟科,　　黑腹军舰鸟,Fregata minor,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　军舰鸟科,　　白斑军舰鸟,Fregata ariel,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　鲣鸟科#,　　蓝脸鲣鸟,Sula dactylatra,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　鲣鸟科#,　　红脚鲣鸟,Sula sula,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　鲣鸟科#,　　褐鲣鸟,Sula leucogaster,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　鸬鹚科,　　黑颈鸬鹚,Microcarbo niger,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鲣鸟目,　鸬鹚科,　　海鸬鹚,Phalacrocorax pelagicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　黑头白鹮,Threskiornis melanocephalus,一级,原名“白鹮”
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　白肩黑鹮,Pseudibis davisoni,一级,原名“黑鹮”
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　朱鹮,Nipponia nippon,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　彩鹮,Plegadis falcinellus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　白琵鹭,Platalea leucorodia,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹮科,　　黑脸琵鹭,Platalea minor,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　小苇鳽,Ixobrychus minutus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　海南鳽,Gorsachius magnificus,一级,原名“海南虎斑鳽”
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　栗头鳽,Gorsachius goisagi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　黑冠鳽,Gorsachius melanolophus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　白腹鹭,Ardea insignis,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　岩鹭,Egretta sacra,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹭科,　　黄嘴白鹭,Egretta eulophotes,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹈鹕科#,　　白鹈鹕,Pelecanus onocrotalus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹈鹕科#,　　斑嘴鹈鹕,Pelecanus philippensis,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹈形目,　鹈鹕科#,　　卷羽鹈鹕,Pelecanus crispus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹗科,　　鹗,Pandion haliaetus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　黑翅鸢,Elanus caeruleus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　胡兀鹫,Gypaetus barbatus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白兀鹫,Neophron percnopterus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　鹃头蜂鹰,Pernis apivorus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　凤头蜂鹰,Pernis ptilorhynchus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　褐冠鹃隼,Aviceda jerdoni,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　黑冠鹃隼,Aviceda leuphotes,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　兀鹫,Gyps fulvus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　长嘴兀鹫,Gyps indicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白背兀鹫,Gyps bengalensis,一级,原名“拟兀鹫”
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　高山兀鹫,Gyps himalayensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　黑兀鹫,Sarcogyps calvus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　秃鹫,Aegypius monachus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　蛇雕,Spilornis cheela,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　短趾雕,Circaetus gallicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　凤头鹰雕,Nisaetus cirrhatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　鹰雕,Nisaetus nipalensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　棕腹隼雕,Lophotriorchis kienerii,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　林雕,Ictinaetus malaiensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　乌雕,Clanga clanga,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　靴隼雕,Hieraaetus pennatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　草原雕,Aquila nipalensis,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白肩雕,Aquila heliaca,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　金雕,Aquila chrysaetos,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白腹隼雕,Aquila fasciata,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　凤头鹰,Accipiter trivirgatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　褐耳鹰,Accipiter badius,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　赤腹鹰,Accipiter soloensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　日本松雀鹰,Accipiter gularis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　松雀鹰,Accipiter virgatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　雀鹰,Accipiter nisus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　苍鹰,Accipiter gentilis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白头鹞,Circus aeruginosus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白腹鹞,Circus spilonotus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白尾鹞,Circus cyaneus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　草原鹞,Circus macrourus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　鹊鹞,Circus melanoleucos,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　乌灰鹞,Circus pygargus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　黑鸢,Milvus migrans,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　栗鸢,Haliastur indus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白腹海雕,Haliaeetus leucogaster,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　玉带海雕,Haliaeetus leucoryphus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白尾海雕,Haliaeetus albicilla,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　虎头海雕,Haliaeetus pelagicus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　渔雕,Ichthyophaga humilis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　白眼鹰,Butastur teesa,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　棕翅鹰,Butastur liventer,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　灰脸鹰,Butastur indicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　毛脚,Buteo lagopus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　大,Buteo hemilasius,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　普通,Buteo japonicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　喜山,Buteo refectus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　欧亚,Buteo buteo,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹰形目#,　鹰科,　　棕尾,Buteo rufinus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　黄嘴角鸮,Otus spilocephalus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　领角鸮,Otus lettia,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　北领角鸮,Otus semitorques,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　纵纹角鸮,Otus brucei,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　西红角鸮,Otus scops,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　红角鸮,Otus sunia,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　优雅角鸮,Otus elegans,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　雪鸮,Bubo scandiacus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　雕鸮,Bubo bubo,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　林雕鸮,Bubo nipalensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　毛腿雕鸮,Bubo blakistoni,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　褐渔鸮,Ketupa zeylonensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　黄腿渔鸮,Ketupa flavipes,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　褐林鸮,Strix leptogrammica,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　灰林鸮,Strix aluco,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　长尾林鸮,Strix uralensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　四川林鸮,Strix davidi,一级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　乌林鸮,Strix nebulosa,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　猛鸮,Surnia ulula,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　花头鸺鹠,Glaucidium passerinum,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　领鸺鹠,Glaucidium brodiei,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　斑头鸺鹠,Glaucidium cuculoides,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　纵纹腹小鸮,Athene noctua,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　横斑腹小鸮,Athene brama,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　鬼鸮,Aegolius funereus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　鹰鸮,Ninox scutulata,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　日本鹰鸮,Ninox japonica,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　长耳鸮,Asio otus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　鸱鸮科,　　短耳鸮,Asio flammeus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　草鸮科,　　仓鸮,Tyto alba,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　草鸮科,　　草鸮,Tyto longimembris,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鸮形目#,　草鸮科,　　栗鸮,Phodilus badius,二级,
脊索动物门 CHORDATA,鸟纲 AVES,咬鹃目#,　咬鹃科,　　橙胸咬鹃,Harpactes oreskios,二级,
脊索动物门 CHORDATA,鸟纲 AVES,咬鹃目#,　咬鹃科,　　红头咬鹃,Harpactes erythrocephalus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,咬鹃目#,　咬鹃科,　　红腹咬鹃,Harpactes wardi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,犀鸟目,　犀鸟科#,　　白喉犀鸟,Anorrhinus austeni,一级,
脊索动物门 CHORDATA,鸟纲 AVES,犀鸟目,　犀鸟科#,　　冠斑犀鸟,Anthracoceros albirostris,一级,
脊索动物门 CHORDATA,鸟纲 AVES,犀鸟目,　犀鸟科#,　　双角犀鸟,Buceros bicornis,一级,
脊索动物门 CHORDATA,鸟纲 AVES,犀鸟目,　犀鸟科#,　　棕颈犀鸟,Aceros nipalensis,一级,
脊索动物门 CHORDATA,鸟纲 AVES,犀鸟目,　犀鸟科#,　　花冠皱盔犀鸟,Rhyticeros undulatus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　赤须蜂虎,Nyctyornis amictus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　蓝须蜂虎,Nyctyornis athertoni,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　绿喉蜂虎,Merops orientalis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　蓝颊蜂虎,Merops persicus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　栗喉蜂虎,Merops philippinus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　彩虹蜂虎,Merops ornatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　蓝喉蜂虎,Merops viridis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　蜂虎科,　　栗头蜂虎,Merops leschenaultia,二级,原名“黑胸蜂虎”
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　翠鸟科,　　鹳嘴翡翠,Pelargopsis capensis,二级,原名“鹳嘴翠鸟”
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　翠鸟科,　　白胸翡翠,Halcyon smyrnensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　翠鸟科,　　蓝耳翠鸟,Alcedo meninting,二级,
脊索动物门 CHORDATA,鸟纲 AVES,佛法僧目,　翠鸟科,　　斑头大翠鸟,Alcedo hercules,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　白翅啄木鸟,Dendrocopos leucopterus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　三趾啄木鸟,Picoides tridactylus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　白腹黑啄木鸟,Dryocopus javensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　黑啄木鸟,Dryocopus martius,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　大黄冠啄木鸟,Chrysophlegma flavinucha,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　黄冠啄木鸟,Picus chlorolophus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　红颈绿啄木鸟,Picus rabieri,二级,
脊索动物门 CHORDATA,鸟纲 AVES,啄木鸟目,　啄木鸟科,　　大灰啄木鸟,Mulleripicus pulverulentus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　红腿小隼,Microhierax caerulescens,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　白腿小隼,Microhierax melanoleucus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　黄爪隼,Falco naumanni,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　红隼,Falco tinnunculus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　西红脚隼,Falco vespertinus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　红脚隼,Falco amurensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　灰背隼,Falco columbarius,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　燕隼,Falco subbuteo,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　猛隼,Falco severus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　猎隼,Falco cherrug,一级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　矛隼,Falco rusticolus,一级,
脊索动物门 CHORDATA,鸟纲 AVES,隼形目#,　隼科,　　游隼,Falco peregrinus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　短尾鹦鹉,Loriculus vernalis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　蓝腰鹦鹉,Psittinus cyanurus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　亚历山大鹦鹉,Psittacula eupatria,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　红领绿鹦鹉,Psittacula krameri,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　青头鹦鹉,Psittacula himalayana,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　灰头鹦鹉,Psittacula finschii,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　花头鹦鹉,Psittacula roseata,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　大紫胸鹦鹉,Psittacula derbiana,二级,
脊索动物门 CHORDATA,鸟纲 AVES,鹦形目#,　鹦鹉科,　　绯胸鹦鹉,Psittacula alexandri,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　双辫八色鸫,Pitta phayrei,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　蓝枕八色鸫,Pitta nipalensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　蓝背八色鸫,Pitta soror,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　栗头八色鸫,Pitta oatesi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　蓝八色鸫,Pitta cyanea,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　绿胸八色鸫,Pitta sordida,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　仙八色鸫,Pitta nympha,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　八色鸫科#,　　蓝翅八色鸫,Pitta moluccensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　阔嘴鸟科#,　　长尾阔嘴鸟,Psarisomus dalhousiae,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　阔嘴鸟科#,　　银胸丝冠鸟,Serilophus lunatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　黄鹂科,　　鹊鹂,Oriolus mellianus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　卷尾科,　　小盘尾,Dicrurus remifer,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　卷尾科,　　大盘尾,Dicrurus paradiseus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鸦科,　　黑头噪鸦,Perisoreus internigrans,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鸦科,　　蓝绿鹊,Cissa chinensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鸦科,　　黄胸绿鹊,Cissa hypoleuca,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鸦科,　　黑尾地鸦,Podoces hendersoni,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鸦科,　　白尾地鸦,Podoces biddulphi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　山雀科,　　白眉山雀,Poecile superciliosus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　山雀科,　　红腹山雀,Poecile davidi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　百灵科,　　歌百灵,Mirafra javanica,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　百灵科,　　蒙古百灵,Melanocorypha mongolica,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　百灵科,　　云雀,Alauda arvensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　苇莺科,　　细纹苇莺,Acrocephalus sorghophilus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　鹎科,　　台湾鹎,Pycnonotus taivanus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　金胸雀鹛,Lioparus chrysotis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　宝兴鹛雀,Moupinia poecilotis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　中华雀鹛,Fulvetta striaticollis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　三趾鸦雀,Cholornis paradoxus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　白眶鸦雀,Sinosuthora conspicillata,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　暗色鸦雀,Sinosuthora zappeyi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　灰冠鸦雀,Sinosuthora przewalskii,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　短尾鸦雀,Neosuthora davidiana,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　莺鹛科,　　震旦鸦雀,Paradoxornis heudei,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　绣眼鸟科,　　红胁绣眼鸟,Zosterops erythropleurus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　林鹛科,　　淡喉鹩鹛,Spelaeornis kinneari,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　林鹛科,　　弄岗穗鹛,Stachyris nonggangensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　幽鹛科,　　金额雀鹛,Schoeniparus variegaticeps,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　大草鹛,Babax waddelli,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　棕草鹛,Babax koslowi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　画眉,Garrulax canorus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　海南画眉,Garrulax owstoni,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　台湾画眉,Garrulax taewanus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　褐胸噪鹛,Garrulax maesi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　黑额山噪鹛,Garrulax sukatschewi,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　斑背噪鹛,Garrulax lunulatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　白点噪鹛,Garrulax bieti,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　大噪鹛,Garrulax maximus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　眼纹噪鹛,Garrulax ocellatus,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　黑喉噪鹛,Garrulax chinensis,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　蓝冠噪鹛,Garrulax courtoisi,一级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　棕噪鹛,Garrulax berthemyi,二级,
脊索动物门 CHORDATA,鸟纲 AVES,雀形目,　噪鹛科,　　橙翅噪鹛,Trochalopteron elliotii,二级,
