"ID","种","属","亚科","描述","分布"
"20","偏柄双节行军蚁Aenictus latiscapus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","种小名“latiscapus”是由“lati”+“scapus”组成的，意为“偏向一侧的柄”。应该是指其扁平的触角柄节偏向一侧的特点。 故而译为“偏柄双节行军蚁”。 本种仅发现雄蚁标本，其他未知。 ","中国福建、台湾；印度。"
"21","隈取瘤颚蚁Strumigenys kumadori","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“kumadori”取自日本的“歌舞伎隈取”，即歌舞伎之脸谱，故而译为“隈取瘤颚蚁”。","中国北京、台湾；日本。"
"22","幸德红蚁Myrmica kotokui","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“kotokui”为日本姓氏，中文译为“幸德”。Forel没有说明命名原因，但很可能指的是日本著名的社会主义运动活动家、记者、作家幸德秋水（Shusui Kotoku）。","中国河北（张家口）；日本，韩国，朝鲜，俄罗斯。"
"23","广目猛蚁Ponera kohmoku","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","种小名“kohmoku”是佛教四大护法天王之一的西方广目天王的日文罗马音。相比于其他同属蚁种，此蚁种复眼较大。 故而译为“广目猛蚁”。 The largest species among Japanese Ponera: Total length of workers around 3.5 - 4 mm. Body color black. Similar to P. scabra and P. yakushimensis, but distinguished by the large eyes, each consisting of 20 or more facets, and by the posterior petiolar surface in dorsal view being straight, not concave. ","中国，日本。"
"24","火神心结蚁Cardiocondyla kagutsuchi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“kagutsuchi”意为“Hinokagatsuchi (火之迦具土)”，是日本神话中火神的名字，故而译为“火神心结蚁”。 火神心结蚁的模式产地位于日本。","中国广西、台湾；婆罗洲，关岛，印度尼西亚，马来西亚，密克罗尼西亚，新几内亚，北马里亚纳群岛，帕劳，菲律宾，所罗门群岛，泰国，越南，日本。"
"25","喜庆大头蚁Pheidole jubilans","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“jubilans”意为“喜庆的，喜气洋洋的”，故而译为“喜庆大头蚁”。","中国台湾；印度尼西亚。"
"26","木心结蚁Cardiocondyla itsukii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“itsukii”是定种文献三位联合作者中的日籍作者Okita Ichiro的儿子的名字，他的儿子叫做Okita Itsuki，故而根据这个名字相对应的汉字译为“树心结蚁”，但如果译成“树心结蚁”的话容易产生歧义，令人误以为这是一种树栖蚁种，故本网为了消除歧义，将其译为“木心结蚁”。 木心结蚁的模式产地位于日本。 ","中国广西；夏威夷，印度尼西亚，基里巴斯，菲律宾，留尼旺，不丹，印度，尼泊尔，斯里兰卡，泰国，日本。"
"27","困惑瘤颚蚁Strumigenys incerta","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“incerta”意为“可疑的，困惑的”，故而译为“困惑瘤颚蚁”。","中国浙江、湖南；日本，韩国。"
"28","异瘤颚蚁Strumigenys heteropha","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“heteropha”意为“不同的”，指的是其下前侧片光滑，与同种团（Strumigenys caniophanes-group）的其他三种瘤颚蚁不同的特点，故而译为“异瘤颚蚁”。","中国香港。"
"29","般若盲切叶蚁Carebara hannya","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“hannya”源自日本文化中对于女性怨灵的称呼，中文译为“般若”，故而译为“般若盲切叶蚁”。 般若盲切叶蚁的模式产地位于日本。 正模兵蚁体长1.3mm。副模工蚁体长0.9~1.0mm。","中国台湾；日本。"
