"ID","种","属","亚科","描述","分布"
"235","叶形多刺蚁Polyrhachis lamellidens","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长7.1-8.3mm，前胸背板侧角向外延伸成2长刺，中胸背板有2向侧后方的短刺，并胸腹节亦有2向侧后上方延伸的短刺。结节刺长而显眼，方向为侧后方。","中国吉林、甘肃、辽宁、山东、江苏（苏州）、上海、福建、河南（鹤壁（淇县））浙江（莫干山）、安徽、湖北（利川、长阳、神农架、随州、罗田、通山）、四川（武陵）、湖南、贵州（梵净山、雷山雷公山）、台湾、广东（连州、乳源）、广西（木论、猫儿山、青狮潭、兴安）、香港、陕西（龙池）、重庆（大巴山）、未定（Lou-bou、Yue-wan-kiai）；日本，朝鲜半岛。"
"236","血红林蚁Formica sanguinea","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长6-9mm，头、胸和足浅红色，头部略带暗褐色，腹部暗褐色或黑色。 种小名“sanguinea”意为“血红色的”。","中国河北、山西、福建、浙江、新疆（北屯、阿勒泰、阜康、Sangong河边）、甘肃（榆中、永昌、永登、和政）、吉林（白城、吉林）、宁夏（六盘山林地、彭阳栖凤山、贺兰山）、山东、陕西、青海、黑龙江、辽宁、内蒙古、四川、西藏、云南；俄罗斯（西伯利亚和远东），俄罗斯高加索地区，葡萄牙，芬兰，日本，法国，蒙古，阿富汗，伊朗，挪威，朝鲜半岛，中亚，欧洲。"
"237","条纹细颚猛蚁Leptogenys diminuta","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长6.5-7.8mm，体黑色，触角柄节、上颚和足胫节暗红色，足跗节和后腹部末端黄褐色。  头长大于宽，两侧缘近平直，后头缘微凸。上颚三角形，仅具端齿。唇基宽圆，中央凸，中脊明显。触角柄节约1/3超过后头缘；鞭节第2节略长于第1节。复眼较大而突出，位于头侧近前端。并腹胸长；前胸背板微凸；中胸背板向后降低；前一中胸背板缝明显，中-并胸腹节缝深凹；并胸腹节基面长，微凸，圆形过渡到斜面；背面观基面后端显著宽于前端。足长。结节近方形，前面凸，后面直，宽于前面；顶端圆。腹柄下突小。后腹部长卵形，基2节间缢缩明显。螫针发达。 上颚和头部具细纵刻纹，头后部刻纹横形；前胸背板前缘具粗密横刻纹；中胸背板刻纹纵向且具皱纹，侧板具细密纵刻纹；并胸腹节具皱纹，斜面具细横刻纹；并腹胸其余部分刻点和刻纹弱而不清晰；略具光泽。结节具不清晰地刻纹和稀疏刻点。后腹部光亮。立毛黄色，较稀疏。触角和足具短茸毛。体黑色。触角柄节基部和端部，触角、上颚和足胫节暗红褐色；足跗节和后腹部末端黄褐色。 ","中国福建、云南（西双版纳）、海南、台湾（台北、红头屿）、广西（藤县、金钟山）、广东（清新、河源、肇庆、惠东、从化、广州、龙门）、香港、湖南；马来西亚，文莱，马尼拉，印度尼西亚，所罗门群岛，斯里兰卡，新几内亚，印度，菲律宾，缅甸，澳大利亚，越南。"
"238","侧多刺蚁Polyrhachis latona","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长6.5-6.9mm，体黑色，无光泽。 ","中国台湾（高雄）、广西（付绥、西大明山、十万大山、荔浦、昭平、桂平、隆林、都安、金钟山）、广东（鹤山、珠海、信宜）、贵州（梵净山）、香港；日本。"
"239","百陶弓背蚁Camponotus bedoti","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长5mm。","中国江苏；印度尼西亚。"
"240","栗红平头蚁Colobopsis badia","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长5-8mm，头部和腹部黑褐色，上颚、触角鞭节、胸部和足红褐色，散生直立毛，腹柄节粗，卵园形，前凸后平，腹背1-2节无黄白色园斑。  ","中国江苏（常州）、浙江、西藏（墨脱）；缅甸，斯里兰卡，马来西亚，加里曼丹。"
"241","熊猫曲颊猛蚁Gnamptogenys panda","曲颊猛蚁属Gnamptogenys","蚁亚科蚂蚁Formicinae","工蚁体长5.8-7.2mm，体深红褐色至深黄色，上颚和触角颜色较淡。","中国湖南(江永、宁远、东安、新宁、安化、沅陵、永顺、古丈、桑植、张家界、石门、浏阳、平江、炎陵、桂东、宜章)、陕西（龙池、佛坪）、湖北（鹤峰、咸丰、神农架、武当山、随州、罗田、通山）、四川（川东盆地）、广西（临桂）、浙江（百山祖）、贵州（梵净山、雷公山）、重庆（大巴山）。"
"242","结多刺蚁Polyrhachis rastellata","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长5.5-6.2mm，体黑色，足腿节、胫节血红色。结节下部厚，向上变窄，有4相似的齿。","中国贵州（雷山雷公山、江口梵净山）、湖北（恩施、利川、建始、咸丰、五峰、长阳、竹溪、房县、罗田、崇阳、松滋、荆州）、湖南、浙江（丽水、百祖山）、江西、福建、台湾、云南（西双版纳）、广西（兴安、全州、灌阳、资源、花坪、金秀、田林、藤县、弄岗）、广东（连州、乳源、始兴、平远、深圳）、海南、香港；斯里兰卡，印度，印度尼西亚，缅甸，泰国，丹那沙林，苏门答腊，卡纳那，南孔坎，东南亚，澳大利亚。"
"243","日本黑褐蚁Formica japonica","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长5.4-7.6mm。体细长褐黑色至黑色，上颚、触角和足红褐色；全身暗而无光泽。立毛较少，主要分布在头前部和后腹部；全身特别是后腹部具浓密的柔毛，几不见毛间空隙。","中国北京、河北、河南（开封、杞县、栾川、嵩县、辉县、登封、鹤壁（淇县、淇滨、山城、鹤山、浚县）、鸡公山）、浙江（莫干山、百祖山）、黑龙江、吉林、安徽、辽宁、甘肃（大沙河、山丹、永昌、西和、宕昌、武山、麦积、临洮、 渭源、正宁、合水）、山西、山东（青岛）、陕西（龙池）、江西、上海、湖北（恩施、来凤、宣恩、鹤峰、利川、建始、咸丰、五峰、长阳、神农架、武当山、竹溪、竹山、郧县、襄阳、罗田、英山、浠水、通山、崇阳、新洲、监利、荆州）、湖南、四川（成都）、云南、福建、江苏、广东、广西（花坪、猫儿山、金钟山）、新疆（阿勒泰）、台湾（雾社、Suisharyo）、宁夏（隆德、彭阳、贺兰山、西吉、六盘山）、青海、四川（川西北高山高原域、四川盆地西缘山地域、川西南高原域、川东盆地域）、贵州（梵净山）、内蒙古（鄂尔多斯）、未定（北太湖、Kuling、Luobou、Sia-su、Hoa-chau、Yue-wan-kiai）；日本，蒙古，韩国，朝鲜半岛，印度，缅甸，俄罗斯远东地区。"
"244","麦氏多刺蚁Polyrhachis moesta","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长5.3-6.6mm，体黑色，足腿节、胫节深红色，有的仅足胫节深红色，有的除跗节外均红色至深红色；后腹部末端褐色，少数个体后腹部褐红色。","中国湖南、湖北（恩施）、上海（佘山、徐家汇）、江苏、江西、浙江（莫干山）、广西、贵州、台湾、云南（西双版纳）；日本，斯里兰卡，印度尼西亚。"
"245","槽结粗角蚁Cerapachys sulcinodis","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","工蚁体长5.2-7.2mm，体黑色，体光亮，全身黄色毛丰富，刻点稀疏。 ","中国四川、贵州（梵净山）、西藏（嘎隆拉山）、广东（广州、车八岭）、广西（花坪、猫儿山、木论、大王岭、大明山、十万大山）、香港（维多伊利亚山、大浦区）、云南（西双版纳、无量山）、湖南（通道、凤凰）、湖北（利川、来凤）、甘肃（兰州、 麦积）、海南（昌江、五指山）、江西、福建（福州）；印度，斯里兰卡，缅甸，马拉西亚。"
"246","长跗滑蚁Lioponera longitarsus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","工蚁体长4mm，触角12节。头黑色，触角、上颚、并腹胸红色。 ","中国广东、四川、云南、浙江（天目山）、湖南、台湾；印度，孟加拉国，澳大利亚。"
"247","丝光褐林蚁Formica fusca","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4-7mm，暗褐红色。","中国浙江、福建、上海、湖南、湖北（神农架）、北京、山东（烟台）、辽宁、吉林（白城、长春、吉林、延边）、台湾、陕西（延安）、香港、甘肃（景泰、山丹、永靖、永昌、古浪、临洮、渭源）、宁夏（六盘山（二龙河、荷花苑）、隆德、贺兰山）、四川（Chodzy-zou）、重庆（大巴山）、云南（昆明、云岭、大理苍山、无量山）、黑龙江、新疆（乌鲁木齐、Tien-chi、Sangong河边）、贵州（雷山雷公山、江口梵净山）、江苏、河北、西藏（德姆拉山）、未定（Maotschzu-Mataigi）、甘肃（山丹县）、河南（鸡公山）、广东（罗浮山）、内蒙古（阿拉善）；印度，葡萄牙，日本，意大利，俄罗斯，北非，北亚，北欧中部，北美，古北区。"
"248","北京凹头蚁Formica beijingensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.7-5.8mm，体较小，头部红褐色，上半部染有黑色斑点；并腹胸和结节橘红色或褐红色，前、中胸背板具褐色黑斑，后腹部黑色。","中国北京（霞云岭、百花山）、黑龙江、青海、甘肃（永昌、西和、岷县、静宁、庄浪、华池、古浪）、宁夏（六盘山（二龙河）、彭阳(栖凤山)、罗山）、吉林、河北。"
"249","石狩红蚁Formica yessensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.5到7mm和F. truncorum十分相象。 Woker totle length from 4.5mm to 7mm,very like F. truncorum.Never fight with each other even from diffrent nests. Can be found in Taiwan,Jilin,Shannxi of China;Japan and Korea.","中国内蒙古、台湾、陕西、山西、吉林（长白山）；日本，俄罗斯（西伯利亚），朝鲜半岛。"
"250","红褐林蚁Formica rufa","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.5-9mm，红和淡褐黑两色，头背面和前胸背板上黑斑的深浅和大小多变。","中国吉林（吉林、通化、延边、白山）、辽宁、东北（长白山）、华北、新疆（米泉）；全球，北欧至北纬63度以南的区域。"
"251","莱曼蚁Formica lemani","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.5-7mm，淡灰色至淡褐灰色，足灰白，前胸背板着生大量短而强壮的毛，但偶尔毛少或无。 ","中国四川（成都）、辽宁、西藏（林芝、东久、德姆拉山）；俄罗斯西伯利亚和远东，西班牙，朝鲜，日本，北欧。"
"252","毛眼林蚁Formica exsecta","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.5-7.5mm，腹部黑褐色，其余部分带红色，头和前胸背板上颜色多变。","中国广西、澳门、新疆（乌鲁木齐、米泉）、湖北（利川）；英国，芬兰，俄罗斯，北欧。"
"253","飘细长蚁Tetraponera allaborans","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae","工蚁体长4.5-5.7mm，体黑色非常光亮，上颚、触角红黄色，足红褐色，腿节暗褐色。","中国海南（五指山）、四川、浙江（丽水）、云南（西双版纳、无量山）、湖南、台湾、广西（灌阳、蒙山、昭平、金秀、天峨、桂林、木论、大王岭、金钟山、弄岗）、湖北、广东（鼎湖山、信宜、深圳、南岭）、福建、甘肃（凉州、庄浪）、河南（开封、兰考、尉氏、周口、项城、太康、扶沟、淮阳、郸城、商丘、济源）、西藏（德姆拉山）；印度，缅甸，斯里兰卡，东南亚。"
"254","孟子细颚猛蚁Leptogenys mengzii","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长4.5 - 5.2mm。","中国云南（勐海、勐腊、景洪、西双版纳）。"
"255","钳弓背蚁Camponotus selene","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.3-5.1mm，体具有非常稀而短的直立毛。 前胸背板前缘两侧具凸起的齿状结构。 背面观，并腹胸节形成一个开口面向后腹部的钳状结构，故而得名。","中国湖南、广西（金钟山）；印度，缅甸。"
"256","达尔文微猛蚁Parvaponera darwinii","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长4.3-4.9mm.头部长方形, 长稍大于宽, 后头缘中央凹入. 唇基前缘隆起. 上颚具7 齿, 基部外缘缺凹坑. 复眼很小, 由2～4 个小眼面组成. 侧面观胸部背面等高, 前中胸背板缝和后胸沟明显, 中胸侧板完整, 没有斜沟. 腹柄结厚, 侧面观后上角明显, 圆形突出, 稍低于前上角; 前面凹陷, 后面轻度隆起; 腹柄下突发达, 三角形, 前下角突出. 头、胸和腹部具密集细刻点和皱纹, 较暗. 头和体背面具稀疏直立短毛和丰富倾斜绒毛被, 但头部缺立毛. 体红棕色至黄棕色.","中国海南、台湾(台南、台东、南投)；日本，印度，缅甸，斯里兰卡，泰国，马来西亚，印度尼西亚，巴布亚新几内亚，美拉尼西亚群岛，澳大利亚北部，刚果，非洲南部。"
"257","亮毛蚁Lasius fuliginosus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长4.0-6.0mm，体亮黑色，足黄褐色。柔毛稀疏，体背面有散生立毛。 ","中国北京、河南（兰考、杞县、通许、辉县、鹤壁（淇县、浚县）、鸡公山）、黑龙江、辽宁、吉林、甘肃、山西、河北、浙江（天目山）、湖南（大庸）、湖北、陕西（龙池）、四川（川东盆地域）、云南、贵州（大沙河、江口梵净山）、香港、广东、广西（猫儿山）、宁夏（彭阳（人工林）、西吉）、香港、华东各省；古北区，俄罗斯，北欧诸国，北美，非洲，亚洲，日本，印度，朝鲜半岛。"
"258","陕西铺道蚁Tetramorium shensiense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长3.7-3.8mm，体黄褐色至橙褐色，触角柄节基部染有黑色或黑褐色。 ","中国广西（临桂）、海南（尖峰岭）、河南（济源、鸡公山）、湖北、湖南、江西、山西、陕西、四川（川东盆地域、四川盆地西缘山地域）、浙江、香港。"
"259","双隆骨铺道蚁Tetramorium bicarinatum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长3.6mm-4.5mm，触角12节。头部、并腹胸和腹柄节黄褐色，具有网状刻纹；柄后腹颜色深，几无刻点。前胸背板背面观两肩角较尖锐。","中国福建、甘肃（宕昌、永登）、广东（大屏山、七星坑、深圳（南山）、罗浮山）、广西（弄岗、山口英罗港、西大明山、防城）、贵州、海南（昌江、吊罗山）、湖北、湖南、四川（成都、川东盆地域、川西南高原域、四川盆地西缘山地域）、台湾、西藏（墨脱）、香港、云南、浙江；东南亚，韩国，日本，大洋洲，南亚，西亚，北非，南非地区，马达加斯加，欧洲，北美洲，南美洲北部，太平洋，印度洋。"
"260","伊藤卷尾猛蚁Proceratium itoi","无齿猛蚁属Discothyrea","蚁亚科蚂蚁Formicinae","工蚁体长3.5-4.0mm，体红褐色。 ","中国湖南、浙江、台湾（台东）；日本，朝鲜半岛，越南。"
"261","光颚铺道蚁Tetramorium insolens","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长3.3-4.0mm，体黄褐色至橙褐色，后腹部颜色通常较淡，体具丰富的长立毛或亚立毛。","中国广东（深圳（南山））、广西、四川、西藏、云南（昆明、瑞丽）；菲律宾，老挝，马来西亚半岛，泰国，越南，婆罗洲，所罗门群岛，小巽他群岛，新几内亚，印度尼西亚，斯里兰卡，瓦努阿图，洛亚蒂群岛，新喀里多尼亚，斐济，瓦利斯群岛和富图纳群岛，汤加，萨摩亚群岛，马斯克林群岛，英国，法国，荷兰，瑞士，德国，奥地利，波兰，匈牙利，美国，墨西哥。"
"262","榕细长蚁Tetraponera microcarpa","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae","工蚁体长3.3-4.0mm，红黄色至暗红褐色。头矩形，两侧缘近平行，复眼之后略收缩，后头缘几平直，后头角圆。上颚窄，咀嚼缘具3齿。唇基窄，中部抬高，前缘中央凹入，两侧突出成粗齿状。触角柄节短，仅到达复眼中部。复眼大，椭圆形，位于头侧近前端。前胸背板平坦，两侧具边缘，肩角圆凸；前-中胸背板缝清晰但不凹陷，中-并胸腹节缝明显凹陷；中胸背板略低于前胸背板；并胸腹节背板凸，侧扁。第1结前柄约为结节长的1/2，结节圆形；第2结节低于第1结节，背面观宽于第1结节。后腹部细长卵形。足中长，跗爪简单。 体光亮。上颚、唇基、头前端以及并腹胸侧面可见细纵刻纹；立毛稀疏，仅见于唇基、足基节和后腹部术端。茸毛细而稀疏，见于触角柄节和后足胫节。体暗红褐色。上颚、触角、结节和足黄褐色。","中国江西、广西（桂林、兴安、田林、来宾、合浦、弄岗、英罗港、金钟山、弄岗）、广东（广州、乳源、信宜、深圳）、河南（尉氏、通许）、香港、湖北、湖南、云南。"
"263","日本铺道蚁Tetramorium nipponense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长3.3-3.7mm，少数个体后腹部比并胸腹稍淡或稍暗。","中国福建、广东（鼎湖山、始兴）、广西（大瑶山、花坪、木论、弄岗）、海南（佳西、万宁、五指山）、湖北、湖南、江西、四川（成都、川东盆地域、四川盆地西缘山地域）、台湾、西藏、香港、云南（西双版纳、无量山）、浙江；柬埔寨，泰国，越南，日本，不丹。"
"264","污黄拟毛蚁Pseudolasius cibdelus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长2.6-4.6mm，体黄褐色至红褐色，雌蚁体长8.0mm。","中国湖南、湖北（恩施、宣恩、利川、建始、五峰、长阳、武当山、竹溪、郧县、罗田、麻城、通山、赤壁、监利、荆州）、广东、福建（龙岩）、河南（周口、项城、太康、淮阳、沈丘）、云南（高黎贡山、西双版纳、无量山）、贵州（梵净山）、广西。"
"265","锡兰双节行军蚁Aenictus ceylonicus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","工蚁体长2.6-4.3mm，体黄褐色至红褐色，后腹部和足较淡。上颚闭合后与唇基前缘之间有空隙。","中国广西（河池、三江、青龙山、木伦、弄岗）、广东（始兴、从化）、湖南、安徽、海南、云南（文山）、贵州（雷山雷公山）、福建、台湾（台北、嘉义）、湖北、香港；越南，斯里兰卡，加里曼丹岛，印度，菲律宾，巴布亚新几内亚，新西兰，澳大利亚。"
"266","大阪举腹蚁Crematogaster osakensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长2.3-3.1mm 体红黄色至褐黄色，体亮，具光泽。","中国上海（佘山）、湖北、湖南、江西、山西、安徽、浙江、四川（川西北高山高原域、四川盆地西缘山地域）、重庆（大巴山）、陕西（龙池）、福建（龙岩）、广西（弄岗）、广东（平远）、云南（昆明、西双版纳、无量山、绿春）、江苏、海南、西藏（德姆拉山）、河南（鸡公山）；日本，朝鲜半岛。"
"267","长角立毛蚁Paratrechina longicornis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长2.3-2.9mm。灰褐色至黑褐色，触角及足稍淡。体表呈细微的皮革状，具弱光泽。毛披黄白色，末端钝；足基节、头和后腹部腹面的一些毛末端变细。足细长，前足基节十分细长。结节侧面观楔状，顶端钝。","中国湖南、浙江（丽水、百祖山）、贵州（雷山雷公山、江口梵净山）、福建（厦门）、广东（百涌、木论、珠海、深圳（南山、罗湖、宝安、福田、龙岗、盐田）、广州、清新、茂名、湛江、龙门、罗浮山）、广西（青龙山、大瑶山、十万大山、南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、海南（昌江、万宁、陵水、儋州）、台湾（高雄、安平、卑南、Kankau）、香港（浅水湾）、澳门、云南（西双版纳）、湖北、湖南、河南（扶沟、西华、淮阳、鹿邑、济源、鸡公山）、四川（川西南高原域）；热带和亚热带地区，欧洲许多国家温室内常见。"
"268","茸毛铺道蚁Tetramorium lanuginosum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长2.2-3.0mm，体色变化大，黄褐色至黑褐色，头部和并胸腹背面生密毛。工蚁头长大于宽，后部宽于前部，后头缘浅宽凹。触角12节，柄节不到达后头缘。触角沟明显。并腹胸短；并胸腹节刺长三角形，长于后侧叶，微上翘。后侧叶尖而略上翘。第1结节侧面观其背面与后面呈弧形，不成角度；背面观长宽近相等；第2结节低，背面观横形，前部稍窄于后部。后腹部卵圆形。上颚具细纵刻纹；唇基具数条纵脊。头、并腹胸及第1结节背面具粗密网状刻纹；第2结节背面刻纹较弱，后腹部光亮。体被浓密细长立毛，主要以简单毛和二裂毛形式出现，偶有树根三裂毛；后腹部第1节背板上几乎总是缺三裂毛。头、并腹胸及两结节黄褐色，后腹部红褐色。","中国福建、广东（连州、平远、乳源、深圳（宝安）、湛江、珠海、罗浮山）、广西（防城、河池、合浦、玉林、弄岗）、湖南、四川、台湾、香港、云南；日本，东南亚，南亚，大洋洲，西亚，北非，马达加斯加，欧洲，美国，墨西哥，萨尔瓦多，尼加拉瓜，古巴，海地，波多黎各，小安的列斯群岛，特立尼达和多巴哥，太平洋，印度洋。"
"269","罗斯尼刺结蚁Lepisiota rothneyi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长2.2 - 3.7mm，体褐红色至黑色，上颚、触角和足颜色稍淡。体光亮。 罗斯尼斜结蚁是个体变化较大的蚂蚁，因此较容易误定。现归入刺结蚁属，定名为Lepisiota rothneyi。 这罗斯尼斜结蚁的归属问题上，我国学者与外国学者存在分歧。","中国海南（南味岭、尖峰岭、吊罗山、佳西）、广东（鼎湖山、广州、惠州、广州、惠东、龙门、清新、平远、连州、信宜、湛江、罗浮山）、广西（木论、九万山、青狮潭、大瑶山、底定、大王岭、十万大山、南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、湖南、四川（四川盆地西缘山地域、川西南高原域）、云南（西双版纳、无量山）、福建（龙岩）、湖北（恩施、郧县、随州）、西藏（墨脱）、香港、台湾；越南，缅甸，印度。"
"270","克氏铺道蚁Tetramorium kraepelini","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长2.1-2.3mm，黄褐色，或头和并腹胸褐色，后腹部比并腹胸色暗。","中国安徽、福建、广东（惠东、连州、龙门、平远、深圳、始兴、珠海、罗浮山）、广西（防城、桂林、金钟山）、河南（鹤壁（鹤山、淇滨、淇县、山城、浚县）、杞县、尉氏）、湖北、湖南、江西、陕西（龙池）、四川（四川盆地西缘山地域）、重庆、台湾、西藏、香港、云南（昆明、西双版纳、无量山）；菲律宾，柬埔寨，马来西亚半岛，泰国，越南，婆罗洲，印度尼西亚，日本。"
"271","沃氏铺道蚁Tetramorium walshi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长2.0mm-2.8mm，体色变化较大，黄褐色到黑褐色。头后部略宽于前部，后头缘浅宽凹。触角12节，柄节不达后头缘。触角沟明显。并腹胸短宽；并胸腹节刺长三角形，端尖，长于后侧叶。第1结节背面观横宽，前后甚压扁；第2结节背面观与第1结节相似，略宽于第1结节。后腹部卵圆形。上颚光亮；唇基具纵刻纹；头、并腹胸及两结节背面具粗密网状刻纹。后腹部光亮。体被浓密三裂毛。触角和足具丰富简单毛。体褐色。","中国福建、广东（乳源、湛江、珠海）、广西（山口英罗港、桂林、防城、合浦、北海）、湖南、上海、四川（川西南高原域）、云南；菲律宾，马来西亚半岛，泰国，越南，小巽他群岛，印度尼西亚，澳大利亚，克什米尔，孟加拉国，斯里兰卡，印度。"
"272","棘棱结蚁Gauromyrmex acanthinus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长2.0-2.2mm，体褐色，后腹部颜色深。","中国浙江、湖北、湖南、安徽、山东、四川、云南、广西（金钟山）、台湾；印度。"
"273","郑氏扁头猛蚁Ectomomyrmex zhengi","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长12-13.8mm。头部正面观后头缘角状凹入, 头侧缘隆起, 唇基前缘中央凹入. 头部背面沿后头缘隆起呈脊状. 上颚具10 齿. 触角柄节末端稍超过后头角. 侧面观后头角突出呈直角形, 胸部背面等高, 适度隆起. 中胸侧板被一斜沟分割为上下两部分. 腹柄结前面垂直隆起, 后面上部向前斜切; 侧面观前面直, 后面圆形隆起;腹柄下突楔形. 上颚具细纵条纹. 头部具向后分歧的粗糙纵条纹. 胸部具纵条纹; 前胸背面条纹呈同心圆状; 中胸侧板下部具横条纹; 并胸腹节斜面具纵条纹. 腹柄结前面和后面具横皱纹. 腹部具密集刻点, 暗. 头和体背面具丰富直立、亚直立毛和密集亚倾斜绒毛被. 触角柄节和后足胫节背面具丰富直立长毛、亚直立短毛和密集倾斜绒毛被. 体黑色;上颚、触角鞭节、足和腹末端暗红棕色.","中国云南（盈江、保山、施甸、景洪、勐腊、无量山）、西藏（德姆拉山）。"
"274","越南扁头猛蚁Ectomomyrmex tonkinus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长11mm。","中国香港、福建（厦门、福州鼓岭、漳州）、待考证（Black Liang）；越南（河内）。"
"275","小黄斜结蚁Plagiolepis exigua","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长1-1.5mm，褐黄色，头部和腹部后面带褐色。 ","中国湖南、福建（大浦）、台湾（高雄）、云南（云岭）、湖北（利川、长阳）、香港、湖北；印度西部，马达加斯加。"
"276","比罗举腹蚁Crematogaster biroi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长1.8-2.5mm，体光亮黄色至红黄色。头几成正方形，长略大于宽，后头缘平直。上颚咀嚼缘凹，具4枚尖齿。唇基大，中央圆凸，前缘平直。触角柄节长，到达或略超过后头缘；鞭节端2节形成触角棒。复眼较大，位于头侧中央偏后。并腹胸较短；前、中胸背板凸，矩形，背板缝不明显；中-并胸腹节缝深凹，两侧具边缘；并胸腹节基面短，斜面长且中央略凹；并胸腹节刺短，齿状。第1结节背面平，几呈方形，前缘半圆形，两侧几平直；第2结节凸圆，背面中央不具纵沟，与第1结节等宽。后腹部较粗大。 上颚较光亮，其上纵刻纹细弱，隐约可见。体光亮。立毛黄色，长而稀疏。体黄色、黄红色至红褐色。上颚咀嚼缘和后腹部颜色较深。","中国山东、浙江、湖南、广西（金钟山）、云南（高黎贡山）、广东（广州、惠东、茂名、连州、信宜、从化）、台湾、福建（龙岩）、河南（商丘、济源）、安徽、台湾、香港、澳门；印度，东南亚。"
"277","夏氏尼氏蚁Nylanderia sharpii","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","该蚁原名夏氏立毛蚁，现移入本属(Lapolla等,2010)。 工蚁体长1.4-2.2mm，头、并腹胸和结节褐红色；后腹部通常为黑褐色，少数为红褐色，第一节前面有时较淡，触角、足颜色明显淡于头和并腹胸，为黄色至淡黄色。","中国浙江、安徽、湖北（来凤、鹤峰、建始、五峰、长阳、十堰、竹溪、襄阳、英山、浠水、通山、崇阳、监利、武汉）、湖南、四川（四川盆地西缘山地域、川东盆地域）、云南（西双版纳）、湖南、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、广东（信宜、南岭）、福建（龙岩）、陕西、贵州（梵净山）、河南（鸡公山）；美国夏威夷群岛。"
"278","杰顿斜结蚁Plagiolepis jerdonii","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁体长1.3-1.5mm，沥青黑色或褐色，触角、足的胫节和跗节褐黄色，基节和腿节暗黑色。","中国福建、云南（西双版纳、无量山）、浙江、山东（临沂、烟台）、新疆（阿勒泰、尼勒克、新源、和丰、石河子、哈巴河）、香港（九龙）、河南（济源、睢县）、江苏、湖南；印度，特拉文哥尔。"
